"Neighbourhood","Neighbourhood Id","City Grants Funding $","Neighbourhood Equity Score","Salvation Army Donors","Walk Score","Watermain Breaks","Diversity Index - 2008","Voter Turnout - 2008"
"Forest Hill North",102,0,74.94,392,77,3,4.825068,35.714
"Lawrence Park South",103,0,90.12,1307,72,3,4.355668,37.6312
"Mount Pleasant West",104,0,76.39,1392,95,4,5.086278,36.9905
"Lawrence Park North",105,0,92.05,1231,78,3,4.424805,41.0962
"Humewood-Cedarvale",106,0,73.94,302,80,2,5.024598,44.6269
"Oakwood Village",107,50000,57.33,352,82,0,5.12517,36.0092
"Briar Hill-Belgravia",108,31400,57.81,218,81,2,5.31869,30.8211
"Caledonia-Fairbank",109,9000,44.65,89,69,1,4.377647,33.9266
"Keelesdale-Eglinton West",110,0,40.14,132,69,3,4.565908,28.5705
"Rockcliffe-Smythe",111,0,33.86,539,61,8,5.419384,36.3593
"Beechborough-Greenbrook",112,5000,26.54,108,62,3,5.112217,31.5296
"Weston",113,46910,35.99,377,73,10,5.351026,37.9992
"Lambton Baby Point",114,0,66.36,360,70,1,5.004708,41.6178
"Mount Dennis",115,0,26.39,157,59,1,5.659364,29.9101
"Steeles",116,35000,51.66,574,61,2,2.886918,30.2621
"L'Amoreaux",117,8000,50.78,1405,65,6,4.594557,34.1213
"Tam O'Shanter-Sullivan",118,0,55.14,1031,64,15,4.565937,37.1095
"Wexford/Maryvale",119,51800,49.47,1539,67,18,5.111244,39.6217
"Clairlea-Birchmount",120,48393,48.34,719,69,8,5.054501,38.6241
"Oakridge",121,30400,28.57,165,71,2,5.259426,33.5762
"Birchcliffe-Cliffside",122,64400,60.28,1143,71,8,4.481315,37.9681
"Cliffcrest",123,0,55.95,928,54,16,4.7402,40.555
"Kennedy Park",124,9000,42.38,354,62,6,5.128451,37.5319
"Ionview",125,70000,35.73,285,70,4,5.000682,33.6001
"Dorset Park",126,0,45.12,558,68,5,5.060029,32.9104
"Bendale",127,7500,47.72,968,64,6,5.07059,35.6323
"Agincourt South-Malvern West",128,8900,53.43,533,66,12,4.131801,33.1112
"Agincourt North",129,0,54.67,467,66,4,3.576297,33.7874
"Milliken",130,2000,56.85,337,65,1,3.039185,30.9314
"Rouge",131,0,48.81,805,42,2,4.982575,33.8903
"Malvern",132,101775,43.89,498,61,0,4.775605,29.8452
"Centennial Scarborough",133,0,70.75,611,54,2,4.711154,38.9269
"Highland Creek",134,0,58.77,433,54,1,4.950386,33.2523
"Morningside",135,22000,36.89,460,53,8,5.038741,35.0163
"West Hill",136,55370,37.25,765,66,8,5.301753,32.5398
"Woburn",137,144255,39.01,1429,66,22,5.021696,37.2474
"Eglinton East",138,5800,36.28,396,62,5,5.184124,35.3157
"Scarborough Village",139,3200,33.94,410,70,6,5.178616,32.939
"Guildwood",140,11500,66.19,903,59,14,4.513205,43.0591
